EgoID,SurveyNr,Degree Centrality,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Community
129370,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
147038,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
126944,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
180448,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
191845,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
151143,3,0.001154068090017311,0.014012958729374417,0.00011593986585624251,1.5118362837794887e-11,6
146413,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
167420,3,0.0005770340450086555,0.01260796550584875,0.0,7.559181418897442e-12,6
35227,3,0.012117714945181764,0.09579299662890638,0.037972035522039684,0.024621057817256365,8
137350,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
195724,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
68494,3,0.005193306405077899,0.08306256553254934,0.0030420888365900885,0.007432427735515171,8
178065,3,0.0017311021350259665,0.09240794760099619,0.030058272210009635,0.02539777005350296,5
108819,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
176924,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
170818,3,0.001154068090017311,0.08080567110412099,0.0,0.005120433783560592,8
130756,3,0.001154068090017311,0.08185226371421213,0.006625672575399984,0.004306220122880487,24
135622,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
151751,3,0.0017311021350259665,0.0919597279683317,0.02057479852340248,0.01020099105853033,8
144713,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
167633,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
165842,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
180305,3,0.001154068090017311,0.08080567110412099,0.0,0.005120433783560592,8
176087,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
115673,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
122984,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
165868,3,0.0005770340450086555,0.08071966187463282,0.0,0.003932970478417231,8
133364,3,0.0017311021350259665,0.08528898481486508,0.012302293813450054,0.005725151557506495,8
158078,3,0.001154068090017311,0.08767181772395091,0.009771219391996107,0.004812291722040219,8
148928,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
109473,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
126052,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
187848,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
145482,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
187339,3,0.0005770340450086555,0.06661055979904923,0.0,0.04451901536411281,0
